date,open,high,low,close,change,volume
2024-03-07,2148.54,2164.54,2144.29,2159.16,0.51%,0
2024-03-08,2159.40,2195.20,2154.08,2177.51,0.85%,0
2024-03-11,2177.71,2189.04,2174.80,2182.47,0.23%,0
2024-03-12,2183.00,2184.86,2150.59,2157.99,-1.12%,0
2024-03-13,2158.25,2179.91,2155.54,2174.40,0.76%,0
2024-03-14,2174.29,2177.10,2152.86,2161.01,-0.62%,0
2024-03-15,2162.40,2173.25,2155.19,2155.54,-0.25%,0
2024-03-18,2156.00,2163.64,2146.05,2159.99,0.21%,0
2024-03-19,2160.70,2162.93,2146.90,2157.23,-0.13%,0
2024-03-20,2158.29,2188.90,2149.60,2185.96,1.33%,0
2024-03-21,2186.00,2222.90,2166.50,2180.81,-0.24%,0
2024-03-22,2181.50,2186.25,2157.15,2164.15,-0.76%,0
2024-03-25,2165.79,2181.30,2163.50,2171.45,0.34%,0
2024-03-26,2171.82,2200.15,2167.75,2178.58,0.33%,0
2024-03-27,2179.03,2197.71,2173.59,2194.02,0.71%,0
2024-03-28,2194.19,2235.90,2187.33,2232.38,1.75%,0
2024-04-01,2239.59,2265.86,2228.54,2250.36,0.81%,0
2024-04-02,2250.88,2281.17,2246.79,2280.10,1.32%,0
2024-04-03,2279.57,2301.22,2265.50,2299.17,0.84%,0
2024-04-04,2299.62,2305.31,2280.15,2289.43,-0.42%,0
2024-04-05,2289.88,2330.34,2267.85,2329.50,1.75%,0
2024-04-08,2322.00,2354.09,2302.86,2338.89,0.40%,0
2024-04-09,2339.24,2365.34,2336.94,2352.58,0.59%,0
2024-04-10,2352.91,2360.15,2319.54,2332.79,-0.84%,0
2024-04-11,2333.17,2377.80,2325.84,2373.24,1.73%,0
2024-04-12,2373.59,2431.53,2333.90,2343.43,-1.26%,0
2024-04-15,2343.86,2387.59,2324.59,2382.51,1.67%,0
2024-04-16,2382.86,2398.34,2362.95,2382.83,0.01%,0
2024-04-17,2383.20,2395.63,2354.84,2360.81,-0.92%,0
2024-04-18,2360.74,2392.84,2360.70,2378.25,0.74%,0
2024-04-19,2378.60,2417.79,2372.96,2390.45,0.51%,0
2024-04-22,2388.20,2388.72,2325.29,2326.29,-2.68%,0
2024-04-23,2326.62,2334.48,2291.40,2321.81,-0.19%,0
2024-04-24,2322.19,2337.16,2311.90,2315.82,-0.26%,0
2024-04-25,2316.20,2344.86,2305.28,2331.78,0.69%,0
2024-04-26,2332.16,2352.62,2326.30,2337.72,0.25%,0
2024-04-29,2337.50,2346.85,2320.08,2334.44,-0.14%,0
2024-04-30,2335.10,2336.54,2284.94,2284.57,-2.14%,0
2024-05-01,2285.91,2328.40,2281.66,2317.88,1.46%,0
2024-05-02,2319.89,2326.57,2285.58,2303.29,-0.63%,0
2024-05-03,2303.20,2321.64,2277.47,2301.56,-0.08%,0
2024-05-06,2293.98,2331.98,2291.91,2326.15,1.07%,0
2024-05-07,2326.31,2329.98,2310.10,2315.20,-0.47%,0
2024-05-08,2315.40,2321.43,2303.74,2309.05,-0.27%,0
2024-05-09,2309.04,2347.59,2306.67,2345.88,1.60%,0
2024-05-10,2346.26,2378.45,2345.25,2360.14,0.61%,0
2024-05-13,2360.38,2364.56,2332.38,2338.45,-0.92%,0
2024-05-14,2338.20,2359.83,2334.55,2357.97,0.83%,0
