"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2023","77.44","76.71","77.50","75.07","28341K","0.56%"
"05/08/2023","77.01","75.23","77.43","74.95","18575K","2.27%"
"05/05/2023","75.30","72.69","75.75","72.41","26507K","3.86%"
"05/04/2023","72.50","71.28","73.72","71.28","36223K","0.24%"
"05/03/2023","72.33","75.31","75.58","71.70","46962K","-3.97%"
"05/02/2023","75.32","79.28","79.78","75.07","38359K","-5.03%"
"05/01/2023","79.31","80.11","80.24","78.13","14656K","-0.29%"
"04/28/2023","79.54","78.25","79.61","77.69","13.0K","1.49%"
"04/27/2023","78.37","77.77","78.61","77.39","10439K","0.88%"
"04/26/2023","77.69","80.92","81.47","77.46","17282K","-3.81%"
"04/25/2023","80.77","82.59","83.06","80.35","20928K","-2.37%"
"04/24/2023","82.73","81.87","82.99","80.48","19790K","1.31%"
"04/21/2023","81.66","80.79","82.05","80.45","19685K","0.69%"
"04/20/2023","81.10","82.75","82.92","80.77","30290K","-2.43%"
"04/19/2023","83.12","84.90","85.15","82.39","33322K","-1.95%"
"04/18/2023","84.77","84.74","85.41","83.81","31570K","0.01%"
"04/17/2023","84.76","86.43","86.52","84.34","26181K","-1.80%"
"04/14/2023","86.31","86.18","86.87","85.53","26258K","0.26%"
"04/13/2023","86.09","87.19","87.47","86.05","29194K","-1.42%"
"04/12/2023","87.33","85.59","87.49","85.39","34780K","2.01%"
"04/11/2023","85.61","84.24","85.67","83.75","26267K","1.70%"
"04/10/2023","84.18","85.10","85.66","84.09","14053K","-1.10%"
"04/06/2023","85.12","84.89","85.45","84.05","25962K","0.15%"
"04/05/2023","84.99","85.22","85.54","84.01","24648K","0.06%"
"04/04/2023","84.94","84.89","86.04","83.82","30853K","0.01%"
"04/03/2023","84.93","86.00","86.44","83.50","47831K","6.47%"
"03/31/2023","79.77","79.19","79.80","78.54","6.8K","0.63%"
"03/30/2023","79.27","78.23","79.55","77.86","62.2K","1.26%"
"03/29/2023","78.28","78.97","79.68","77.94","79.4K","-0.47%"
"03/28/2023","78.65","78.23","79.20","77.54","14568K","0.68%"
"03/27/2023","78.12","75.00","78.42","74.80","14695K","4.17%"
"03/24/2023","74.99","75.53","76.32","72.68","15631K","-1.21%"
"03/23/2023","75.91","75.87","77.44","75.12","19964K","-0.62%"
"03/22/2023","76.38","74.90","76.79","74.26","24469K","1.80%"
"03/21/2023","75.03","73.44","75.12","72.62","29790K","2.03%"
"03/20/2023","73.54","72.97","73.65","70.06","34871K","1.06%"
"03/17/2023","72.77","74.30","75.59","71.38","47737K","-2.05%"
"03/16/2023","74.29","73.85","75.12","71.49","30620K","1.38%"
"03/15/2023","73.28","77.30","78.26","71.30","57646K","-5.38%"
"03/14/2023","77.45","80.54","80.92","76.89","35786K","-4.11%"
"03/13/2023","80.77","82.60","83.48","78.34","46728K","-2.43%"
"03/10/2023","82.78","81.47","83.11","80.73","36928K","1.46%"
"03/09/2023","81.59","82.55","84.00","81.42","28256K","-1.29%"
"03/08/2023","82.66","83.03","83.59","82.06","29709K","-0.76%"
"03/07/2023","83.29","86.23","86.75","82.83","29519K","-3.35%"
"03/06/2023","86.18","85.83","86.35","84.34","24434K","0.41%"
"03/03/2023","85.83","84.61","86.00","82.36","31290K","1.27%"
"03/02/2023","84.75","84.31","85.10","83.83","21422K","0.52%"
"03/01/2023","84.31","83.05","84.49","82.61","24266K","0.50%"
"02/28/2023","83.89","82.30","84.15","82.19","12.0K","1.75%"
"02/27/2023","82.45","83.19","83.60","81.73","58.5K","-0.45%"
"02/24/2023","82.82","82.33","83.09","80.75","28976K","1.06%"
"02/23/2023","81.95","80.31","82.46","80.25","29333K","1.86%"
"02/22/2023","80.45","82.50","82.96","80.30","29726K","-3.13%"
"02/21/2023","83.05","83.86","84.20","82.56","23163K","-1.21%"
"02/20/2023","84.07","83.15","84.30","82.73","14385K","1.29%"
"02/17/2023","83.00","84.60","84.87","81.80","30366K","-2.51%"
"02/16/2023","85.14","85.27","86.21","84.60","19702K","-0.28%"
"02/15/2023","85.38","85.20","85.85","83.88","24598K","-0.23%"
"02/14/2023","85.58","85.83","86.42","84.13","23163K","-1.19%"
"02/13/2023","86.61","86.51","86.95","85.10","20762K","0.25%"
"02/10/2023","86.39","84.22","86.90","83.93","29734K","2.24%"
"02/09/2023","84.50","84.96","85.50","83.05","26073K","-0.69%"
"02/08/2023","85.09","84.11","85.15","83.51","25414K","1.67%"
"02/07/2023","83.69","81.26","84.13","81.19","29098K","3.33%"
