date,open,high,low,close,change,volume
2024-02-27,82.64,83.70,82.10,83.65,1.36%,79.1K
2024-02-28,83.30,84.31,82.60,83.68,0.04%,10785K
2024-02-29,83.23,83.90,83.05,83.62,-0.07%,16.4K
2024-03-01,82.07,84.34,81.81,83.55,-0.08%,40247K
2024-03-04,83.50,84.08,82.57,82.80,-0.90%,36983K
2024-03-05,82.74,83.14,81.72,82.04,-0.92%,45040K
2024-03-06,82.01,84.05,81.85,82.96,1.12%,37205K
2024-03-07,82.92,83.53,82.07,82.96,0.00%,37457K
2024-03-08,83.18,83.84,81.71,82.08,-1.06%,32030K
2024-03-11,82.00,82.75,81.08,82.21,0.16%,34733K
2024-03-12,82.45,83.01,81.69,81.92,-0.35%,32025K
2024-03-13,82.45,84.24,81.96,84.03,2.58%,39169K
2024-03-14,84.04,85.69,83.98,85.42,1.65%,38373K
2024-03-15,85.15,85.55,84.60,85.34,-0.09%,28701K
2024-03-18,85.32,87.18,85.25,86.89,1.82%,39007K
2024-03-19,86.94,87.70,86.48,87.38,0.56%,36742K
2024-03-20,87.15,87.35,85.59,85.95,-1.64%,38630K
2024-03-21,86.24,86.64,85.06,85.78,-0.20%,27187K
2024-03-22,85.66,86.15,85.11,85.43,-0.41%,16835K
2024-03-25,85.50,87.17,85.40,86.75,1.55%,17500K
2024-03-26,86.81,87.06,85.80,86.25,-0.58%,12682K
2024-03-27,85.86,86.39,85.17,86.09,-0.19%,96.1K
2024-03-28,86.41,87.52,86.30,87.48,1.61%,18.9K
2024-04-01,86.98,87.98,86.40,87.42,-0.07%,27496K
2024-04-02,87.62,89.32,87.62,88.92,1.72%,42794K
2024-04-03,89.22,89.99,88.67,89.35,0.48%,36737K
2024-04-04,89.48,91.30,88.72,90.65,1.45%,39095K
2024-04-05,91.21,91.91,90.57,91.17,0.57%,39078K
2024-04-08,90.09,91.10,88.78,90.38,-0.87%,39234K
2024-04-09,90.63,90.94,89.25,89.42,-1.06%,34643K
2024-04-10,89.55,90.71,88.83,90.48,1.19%,37123K
2024-04-11,90.52,90.92,89.38,89.74,-0.82%,37753K
2024-04-12,90.13,92.18,90.01,90.45,0.79%,40122K
2024-04-15,90.95,91.05,88.73,90.10,-0.39%,41036K
2024-04-16,90.43,90.84,89.41,90.02,-0.09%,32352K
2024-04-17,90.11,90.17,87.13,87.29,-3.03%,46293K
2024-04-18,87.42,87.80,86.09,87.11,-0.21%,43324K
2024-04-19,87.04,90.75,86.19,87.29,0.21%,49971K
2024-04-22,87.07,87.26,85.79,87.00,-0.33%,37213K
2024-04-23,87.20,88.51,86.03,88.42,1.63%,34178K
2024-04-24,88.45,88.86,87.65,88.02,-0.45%,24164K
2024-04-25,87.89,89.31,87.31,89.01,1.12%,24135K
2024-04-26,89.23,89.83,88.78,89.50,0.55%,11370K
2024-04-29,89.22,89.29,88.11,88.40,-1.23%,99.5K
2024-04-30,88.41,88.79,87.46,87.86,-0.61%,14.9K
2024-05-01,85.80,85.89,83.29,83.44,-5.03%,48283K
2024-05-02,83.59,84.44,83.05,83.67,0.28%,39264K
2024-05-03,83.90,84.39,82.78,82.96,-0.85%,33557K
2024-05-06,82.99,83.83,82.77,83.33,0.45%,22239K
2024-05-07,83.72,83.88,82.41,83.16,-0.20%,36521K
2024-05-08,83.02,83.82,81.71,83.58,0.51%,39543K
2024-05-09,83.79,84.33,83.45,83.88,0.36%,30945K
2024-05-10,84.21,84.53,82.70,82.79,-1.30%,31145K
2024-05-13,82.78,83.84,82.26,83.36,0.69%,33178K
2024-05-14,83.41,83.62,82.10,82.38,-1.18%,33357K
2024-05-15,82.76,83.07,81.05,82.75,0.45%,38598K
2024-05-16,83.03,83.78,82.31,83.27,0.63%,30571K
2024-05-17,83.43,84.04,83.08,83.98,0.85%,27718K
2024-05-20,83.98,84.49,83.11,83.71,-0.32%,29983K
2024-05-21,83.75,83.76,82.04,82.88,-0.99%,38856K
2024-05-22,82.58,82.63,81.57,81.90,-1.18%,34760K
2024-05-23,81.59,82.97,80.93,81.36,-0.66%,32241K
2024-05-24,81.40,82.46,80.65,82.12,0.93%,18064K
2024-05-27,82.20,83.20,82.08,83.10,1.19%,56.1K
2024-05-28,83.00,84.62,83.00,84.22,1.35%,18426K
2024-05-29,84.61,85.02,83.29,83.60,-0.74%,12727K
2024-05-30,83.51,83.77,81.80,81.86,-2.08%,10541K
2024-05-31,81.74,82.18,81.17,81.62,-0.29%,17.9K
2024-06-03,80.92,81.40,77.94,78.22,-4.17%,31747K
2024-06-04,78.02,78.08,76.66,77.27,-1.21%,34639K
2024-06-05,77.08,78.28,76.94,78.04,1.00%,25785K
2024-06-06,78.30,79.68,78.06,79.50,1.87%,28144K
2024-06-07,79.66,80.02,79.05,79.34,-0.20%,20117K
2024-06-10,79.18,81.73,79.08,81.23,2.38%,23825K
2024-06-11,81.46,81.96,80.85,81.54,0.38%,25922K
2024-06-12,81.75,82.90,81.57,82.15,0.75%,26033K
2024-06-13,81.96,82.60,81.40,82.30,0.18%,27964K
2024-06-14,81.71,82.92,81.55,82.08,-0.27%,30891K
2024-06-17,82.61,84.55,82.10,84.25,2.64%,35972K
2024-06-18,84.31,85.49,83.67,85.33,1.28%,40224K
2024-06-19,85.40,85.84,84.90,85.07,-0.30%,25183K
2024-06-20,85.19,85.96,84.95,85.71,0.75%,25646K
2024-06-21,85.66,86.24,84.84,85.24,-0.55%,24012K
2024-06-24,84.99,86.16,84.71,86.01,0.90%,17976K
2024-06-25,86.06,86.23,84.74,85.01,-1.16%,19750K
2024-06-26,84.89,85.81,84.47,85.25,0.28%,14286K
2024-06-27,85.01,86.50,84.88,86.39,1.34%,11999K
2024-06-28,86.56,87.22,86.24,86.41,0.02%,20.4K
2024-07-01,84.90,86.88,84.85,86.60,0.22%,40136K
